Name,Release_Date,Publisher,Platform,Press_Score,Number_Scores_Press,Users_Score,Number_Scores_Users,Month,Year,Scores_delta,Score_Avg
I Am Alive,2012-03-07,Ubisoft,Xbox 360,6.9,68,6.4,59.0,3,2012,-0.5,6.65
I Am Alive,2012-03-07,Ubisoft,Pc,6.6,10,6.0,80.0,3,2012,-0.5999999999999996,6.3
Assassin's Creed Chronicles: China,2015-04-21,Ubisoft,Playstation 4,6.9,45,5.9,20.0,4,2015,-1.0,6.4
Assassin's Creed Chronicles: China,2015-04-21,Ubisoft,Xbox One,6.7,31,5.7,23.0,4,2015,-1.0,6.2
Assassin's Creed Chronicles: China,2015-04-21,Ubisoft,Pc,6.7,15,5.3,37.0,4,2015,-1.4000000000000004,6.0
Hyper Scape,2020-08-11,Ubisoft,Pc,6.8,13,4.3,31.0,8,2020,-2.5,5.55
Hyper Scape,2020-08-11,Ubisoft,Playstation 4,6.2,8,5.1,35.0,8,2020,-1.1000000000000005,5.65
Hyper Scape,2020-08-11,Ubisoft,Xbox One,6.0,4,5.3,12.0,8,2020,-0.7000000000000002,5.65
Cloudberry Kingdom,2013-07-31,Ubisoft,Wii U,7.5,8,7.4,3.0,7,2013,-0.09999999999999964,7.45
Cloudberry Kingdom,2013-07-31,Ubisoft,Pc,6.7,6,7.4,5.0,7,2013,0.7000000000000002,7.050000000000001
Cloudberry Kingdom,2013-07-31,Ubisoft,Playstation 3,7.5,18,6.2,5.0,7,2013,-1.2999999999999998,6.85
Cloudberry Kingdom,2013-07-31,Ubisoft,Xbox 360,6.8,20,7.0,5.0,7,2013,0.20000000000000018,6.9
Sherlock Holmes: The Silver Earring,2004-09-28,Ubisoft,Pc,6.8,29,6.5,7.0,9,2004,-0.2999999999999998,6.65
Far Cry 6 - Pagan: Control,2022-01-11,Ubisoft,Pc,6.8,8,4.8,5.0,1,2022,-2.0,5.8
Far Cry 6 - Pagan: Control,2022-01-11,Ubisoft,Xbox Series X,8.3,1,3.5,2.0,1,2022,-4.800000000000001,5.9
Far Cry 6 - Pagan: Control,2022-01-11,Ubisoft,Playstation 5,7.0,1,3.3,2.0,1,2022,-3.7,5.15
Tom Clancy's HAWX 2,2010-09-07,Ubisoft,Xbox 360,6.8,57,6.5,14.0,9,2010,-0.2999999999999998,6.65
Tom Clancy's HAWX 2,2010-09-07,Ubisoft,Playstation 3,7.0,30,6.7,5.0,9,2010,-0.2999999999999998,6.85
Tom Clancy's HAWX 2,2010-09-07,Ubisoft,Wii,4.7,11,8.5,1.0,9,2010,3.8,6.6
Tom Clancy's HAWX 2,2010-09-07,Ubisoft,Pc,6.6,12,4.0,21.0,9,2010,-2.5999999999999996,5.3
Batman: Vengeance,2001-10-23,Ubisoft,Playstation 2,6.8,19,6.9,4.0,10,2001,0.10000000000000053,6.85
Batman: Vengeance,2001-10-23,Ubisoft,Game Boy Advance,6.8,8,8.4,1.0,10,2001,1.6000000000000005,7.6
Batman: Vengeance,2001-10-23,Ubisoft,Gamecube,7.0,17,7.1,6.0,10,2001,0.09999999999999964,7.05
Batman: Vengeance,2001-10-23,Ubisoft,Xbox,7.0,14,7.2,2.0,10,2001,0.20000000000000018,7.1
Batman: Vengeance,2001-10-23,Ubisoft,Pc,5.7,13,6.8,3.0,10,2001,1.0999999999999996,6.25
Lost Magic,2006-04-25,Ubisoft,Ds,6.8,44,6.9,8.0,4,2006,0.10000000000000053,6.85
Tetris Ultimate,2014-11-11,Ubisoft,Playstation 4,6.3,5,4.1,14.0,11,2014,-2.2,5.199999999999999
Tetris Ultimate,2014-11-11,Ubisoft,Xbox One,5.9,8,4.2,5.0,11,2014,-1.7000000000000002,5.050000000000001
Tetris Ultimate,2014-11-11,Ubisoft,Playstation Vita,9.8,2,6.0,2.0,11,2014,-3.8000000000000007,7.9
Tetris Ultimate,2014-11-11,Ubisoft,3Ds,6.8,12,5.0,8.0,11,2014,-1.7999999999999998,5.9
Shoot Many Robots,2012-03-14,Ubisoft,Pc,7.7,3,6.2,9.0,3,2012,-1.5,6.95
Shoot Many Robots,2012-03-14,Ubisoft,Xbox 360,6.7,37,6.8,10.0,3,2012,0.09999999999999964,6.75
CSI: Crime Scene Investigation: 3 Dimensions of Murder,2006-03-14,Ubisoft,Playstation 2,7.0,3,6.0,2.0,3,2006,-1.0,6.5
CSI: Crime Scene Investigation: 3 Dimensions of Murder,2006-03-14,Ubisoft,Pc,6.7,16,6.1,9.0,3,2006,-0.6000000000000005,6.4
Tom Clancy's Splinter Cell Classic Trilogy HD,2011-09-27,Ubisoft,Playstation 3,6.7,21,7.1,9.0,9,2011,0.39999999999999947,6.9
Rayman Raving Rabbids 2,2007-11-15,Ubisoft,Wii,6.7,25,6.9,14.0,11,2007,0.20000000000000018,6.800000000000001
Rayman Raving Rabbids 2,2007-11-15,Ubisoft,Ds,5.7,8,4.3,3.0,11,2007,-1.4000000000000004,5.0
Assassin's Creed Odyssey: Story Arc 1 - Legacy of the First Blade,2018-12-04,Ubisoft,Playstation 4,6.7,7,5.7,10.0,12,2018,-1.0,6.2
Assassin's Creed Odyssey: Story Arc 1 - Legacy of the First Blade,2018-12-04,Ubisoft,Xbox One,7.0,3,6.2,5.0,12,2018,-0.7999999999999998,6.6
Assassin's Creed Odyssey: Story Arc 1 - Legacy of the First Blade,2018-12-04,Ubisoft,Pc,7.0,3,6.9,2.0,12,2018,-0.09999999999999964,6.95
Assassin's Creed II: Bonfire of the Vanities,2010-02-18,Ubisoft,Playstation 3,6.7,5,5.2,6.0,2,2010,-1.5,5.95
Assassin's Creed II: Bonfire of the Vanities,2010-02-18,Ubisoft,Xbox 360,6.7,12,6.4,3.0,2,2010,-0.2999999999999998,6.550000000000001
Assassin's Creed III - The Betrayal,2013-03-19,Ubisoft,Xbox 360,6.7,12,4.8,6.0,3,2013,-1.9000000000000004,5.75
Assassin's Creed III - The Betrayal,2013-03-19,Ubisoft,Playstation 3,6.5,4,5.2,4.0,3,2013,-1.2999999999999998,5.85
Assassin's Creed III - The Betrayal,2013-03-19,Ubisoft,Pc,7.0,3,5.9,9.0,3,2013,-1.0999999999999996,6.45
Might & Magic: Heroes VII,2015-09-29,Ubisoft,Pc,6.7,39,4.9,150.0,9,2015,-1.7999999999999998,5.800000000000001
Champions of Anteria,2016-08-30,Ubisoft,Pc,6.7,20,6.6,5.0,8,2016,-0.10000000000000053,6.65
XDefiant,2024-05-21,Ubisoft,Playstation 5,6.9,7,5.3,81.0,5,2024,-1.6000000000000005,6.1
