Name,Release_Date,Publisher,Platform,Press_Score,Number_Scores_Press,Users_Score,Number_Scores_Users,Month,Year,Scores_delta,Score_Avg
Batman: Rise of Sin Tzu,2003-10-16,Ubisoft,Playstation 2,6.3,21,6.8,4.0,10,2003,0.5,6.55
Batman: Rise of Sin Tzu,2003-10-16,Ubisoft,Gamecube,6.3,17,8.3,1.0,10,2003,2.000000000000001,7.300000000000001
Evolution Worlds,2002-12-02,Ubisoft,Gamecube,6.3,20,7.8,2.0,12,2002,1.5,7.05
The Settlers History Collection,2018-11-15,Ubisoft,Pc,6.2,7,6.1,2.0,11,2018,-0.10000000000000053,6.15
Silent Hunter 5: Battle of the Atlantic,2010-03-02,Ubisoft,Pc,6.2,26,5.6,16.0,3,2010,-0.6000000000000005,5.9
Assassin's Creed Odyssey: Story Arc 1 - Legacy of the First Blade: Episode 2,2019-01-15,Ubisoft,Playstation 4,6.2,7,4.3,13.0,1,2019,-1.9000000000000004,5.25
Assassin's Creed Odyssey: Story Arc 1 - Legacy of the First Blade: Episode 2,2019-01-15,Ubisoft,Xbox One,7.0,3,5.8,4.0,1,2019,-1.2000000000000002,6.4
Assassin's Creed Odyssey: Story Arc 1 - Legacy of the First Blade: Episode 2,2019-01-15,Ubisoft,Pc,7.5,3,4.7,4.0,1,2019,-2.8,6.1
Assassin's Creed Liberation HD,2014-01-15,Ubisoft,Playstation 3,6.4,25,6.1,27.0,1,2014,-0.3000000000000007,6.25
Assassin's Creed Liberation HD,2014-01-15,Ubisoft,Xbox 360,6.2,26,5.6,21.0,1,2014,-0.6000000000000005,5.9
Assassin's Creed Liberation HD,2014-01-15,Ubisoft,Pc,6.6,14,5.4,57.0,1,2014,-1.1999999999999993,6.0
Assassin's Creed Chronicles: Russia,2016-02-09,Ubisoft,Playstation 4,6.0,22,4.1,7.0,2,2016,-1.9000000000000004,5.05
Assassin's Creed Chronicles: Russia,2016-02-09,Ubisoft,Xbox One,6.2,24,4.5,11.0,2,2016,-1.7000000000000002,5.35
Assassin's Creed Chronicles: Russia,2016-02-09,Ubisoft,Pc,5.3,11,5.2,18.0,2,2016,-0.09999999999999964,5.25
Toy Soldiers: War Chest,2015-08-11,Ubisoft,Xbox One,6.0,14,7.7,9.0,8,2015,1.7000000000000002,6.85
Toy Soldiers: War Chest,2015-08-11,Ubisoft,Playstation 4,6.2,19,7.1,10.0,8,2015,0.8999999999999995,6.65
Toy Soldiers: War Chest,2015-08-11,Ubisoft,Pc,6.0,5,7.6,1.0,8,2015,1.5999999999999996,6.8
Dragon's Lair 3D: Return to the Lair,2002-11-18,Ubisoft,Gamecube,6.5,20,7.0,1.0,11,2002,0.5,6.75
Dragon's Lair 3D: Return to the Lair,2002-11-18,Ubisoft,Xbox,6.2,27,7.0,1.0,11,2002,0.7999999999999998,6.6
Cloudy With a Chance of Meatballs,2009-09-18,Ubisoft,Wii,6.8,4,7.6,1.0,9,2009,0.7999999999999998,7.199999999999999
Cloudy With a Chance of Meatballs,2009-09-18,Ubisoft,Playstation 3,6.6,9,5.2,3.0,9,2009,-1.3999999999999995,5.9
Cloudy With a Chance of Meatballs,2009-09-18,Ubisoft,Xbox 360,6.2,12,6.7,3.0,9,2009,0.5,6.45
Cloudy With a Chance of Meatballs,2009-09-18,Ubisoft,Pc,7.0,2,7.3,1.0,9,2009,0.2999999999999998,7.15
Heroes Over Europe,2009-09-15,Ubisoft,Pc,6.5,20,6.4,1.0,9,2009,-0.09999999999999964,6.45
Heroes Over Europe,2009-09-15,Ubisoft,Playstation 3,6.2,34,4.1,4.0,9,2009,-2.1000000000000005,5.15
Heroes Over Europe,2009-09-15,Ubisoft,Xbox 360,6.2,39,2.0,1.0,9,2009,-4.2,4.1
Marvel Avengers: Battle for Earth,2012-10-30,Ubisoft,Xbox 360,6.2,11,6.8,3.0,10,2012,0.5999999999999996,6.5
Marvel Avengers: Battle for Earth,2012-10-30,Ubisoft,Wii U,5.0,10,5.5,7.0,10,2012,0.5,5.25
Tork: Prehistoric Punk,2005-01-12,Ubisoft,Xbox,6.2,21,9.0,1.0,1,2005,2.8,7.6
Rayman 2: The Great Escape,2011-03-22,Ubisoft,Playstation 2,9.0,16,8.6,22.0,3,2011,-0.40000000000000036,8.8
Rayman 2: The Great Escape,2011-03-22,Ubisoft,Nintendo 64,9.0,12,8.7,27.0,3,2011,-0.3000000000000007,8.85
Rayman 2: The Great Escape,2011-03-22,Ubisoft,Ios Iphoneipad,5.3,8,7.4,9.0,3,2011,2.1000000000000005,6.35
Rayman 2: The Great Escape,2011-03-22,Ubisoft,3Ds,6.1,39,6.6,26.0,3,2011,0.5,6.35
Rayman 2: The Great Escape,2011-03-22,Ubisoft,Ds,5.8,20,6.6,3.0,3,2011,0.7999999999999998,6.199999999999999
Rayman: Hoodlum's Revenge,2005-03-15,Ubisoft,Game Boy Advance,6.1,12,5.8,3.0,3,2005,-0.2999999999999998,5.949999999999999
Shaun White Skateboarding,2010-10-24,Ubisoft,Playstation 3,6.1,26,6.3,1.0,10,2010,0.20000000000000018,6.199999999999999
Shaun White Skateboarding,2010-10-24,Ubisoft,Xbox 360,6.1,34,5.8,1.0,10,2010,-0.2999999999999998,5.949999999999999
Shaun White Skateboarding,2010-10-24,Ubisoft,Wii,5.9,6,6.0,9.0,10,2010,0.09999999999999964,5.95
Shaun White Skateboarding,2010-10-24,Ubisoft,Pc,7.0,3,7.3,9.0,10,2010,0.2999999999999998,7.15
CSI: Crime Scene Investigation,2003-03-26,Ubisoft,Pc,6.1,19,6.6,1.0,3,2003,0.5,6.35
Star Wars: Lethal Alliance,2006-12-07,Ubisoft,Psp,6.1,31,6.3,2.0,12,2006,0.20000000000000018,6.199999999999999
Disney's Tarzan Untamed,2001-11-17,Ubisoft,Playstation 2,5.9,7,7.4,9.0,11,2001,1.5,6.65
Disney's Tarzan Untamed,2001-11-17,Ubisoft,Gamecube,6.1,11,7.8,1.0,11,2001,1.7000000000000002,6.949999999999999
The Crew,2014-12-02,Ubisoft,Xbox One,6.4,18,5.7,51.0,12,2014,-0.7000000000000002,6.050000000000001
The Crew,2014-12-02,Ubisoft,Playstation 4,6.1,60,5.4,174.0,12,2014,-0.6999999999999993,5.75
The Crew,2014-12-02,Ubisoft,Pc,7.1,12,6.2,132.0,12,2014,-0.8999999999999995,6.65
Surf's Up,2007-05-30,Ubisoft,Gamecube,6.2,1,10.0,1.0,5,2007,3.8,8.1
Surf's Up,2007-05-30,Ubisoft,Playstation 2,6.0,4,7.2,1.0,5,2007,1.2000000000000002,6.6
Surf's Up,2007-05-30,Ubisoft,Playstation 3,5.9,8,3.8,2.0,5,2007,-2.1000000000000005,4.85
Surf's Up,2007-05-30,Ubisoft,Xbox 360,6.1,15,6.3,1.0,5,2007,0.20000000000000018,6.199999999999999
Far Cry 5: Lost on Mars,2018-07-17,Ubisoft,Xbox One,5.5,2,4.6,3.0,7,2018,-0.9000000000000004,5.05
Far Cry 5: Lost on Mars,2018-07-17,Ubisoft,Pc,6.1,13,4.4,6.0,7,2018,-1.6999999999999993,5.25
Far Cry 5: Lost on Mars,2018-07-17,Ubisoft,Playstation 4,5.7,10,5.3,8.0,7,2018,-0.40000000000000036,5.5
PowerUp Heroes,2011-10-18,Ubisoft,Xbox 360,6.1,13,6.8,6.0,10,2011,0.7000000000000002,6.449999999999999
James Cameron's Avatar: The Game,2009-12-01,Ubisoft,Xbox 360,6.1,62,6.2,13.0,12,2009,0.10000000000000053,6.15
James Cameron's Avatar: The Game,2009-12-01,Ubisoft,Playstation 3,6.0,44,6.6,14.0,12,2009,0.5999999999999996,6.3
James Cameron's Avatar: The Game,2009-12-01,Ubisoft,Ds,6.4,3,2.9,4.0,12,2009,-3.5000000000000004,4.65
James Cameron's Avatar: The Game,2009-12-01,Ubisoft,Pc,5.9,16,6.3,10.0,12,2009,0.39999999999999947,6.1
James Cameron's Avatar: The Game,2009-12-01,Ubisoft,Psp,8.7,3,4.7,3.0,12,2009,-3.999999999999999,6.699999999999999
James Cameron's Avatar: The Game,2009-12-01,Ubisoft,Wii,6.0,19,3.3,5.0,12,2009,-2.7,4.65
Voodoo Dice,2010-05-26,Ubisoft,Playstation 3,7.0,1,5.5,1.0,5,2010,-1.5,6.25
Ape Escape: Pumped & Primed,2004-10-20,Ubisoft,Playstation 2,6.1,21,8.8,3.0,10,2004,2.700000000000001,7.45
Shaun White Snowboarding,2008-11-16,Ubisoft,Xbox 360,6.0,48,6.7,9.0,11,2008,0.7000000000000002,6.35
Shaun White Snowboarding,2008-11-16,Ubisoft,Playstation 3,6.3,30,5.6,4.0,11,2008,-0.7000000000000002,5.949999999999999
Shaun White Snowboarding,2008-11-16,Ubisoft,Pc,6.0,8,6.5,1.0,11,2008,0.5,6.25
Shaun White Snowboarding,2008-11-16,Ubisoft,Wii,7.8,28,6.0,9.0,11,2008,-1.7999999999999998,6.9
Star Wars Trilogy: Apprentice of the Force,2004-09-21,Ubisoft,Game Boy Advance,6.0,21,6.3,2.0,9,2004,0.2999999999999998,6.15
James Noir's Hollywood Crimes,2011-11-01,Ubisoft,3Ds,6.0,22,6.6,4.0,11,2011,0.5999999999999996,6.3
"Crouching Tiger, Hidden Dragon (2003)",2003-10-09,Ubisoft,Game Boy Advance,6.0,12,7.0,1.0,10,2003,1.0,6.5
Teenage Mutant Ninja Turtles: Turtles in Time Re-Shelled,2009-08-05,Ubisoft,Xbox 360,6.0,40,6.5,5.0,8,2009,0.5,6.25
Teenage Mutant Ninja Turtles: Turtles in Time Re-Shelled,2009-08-05,Ubisoft,Playstation 3,5.5,4,5.5,2.0,8,2009,0.0,5.5
IL-2 Sturmovik: Cliffs of Dover,2011-04-26,Ubisoft,Pc,6.0,13,7.0,67.0,4,2011,1.0,6.5
Skull and Bones,2024-02-16,Ubisoft,Pc,5.8,44,3.1,331.0,2,2024,-2.6999999999999997,4.45
Skull and Bones,2024-02-16,Ubisoft,Xbox Series X,6.3,21,4.4,51.0,2,2024,-1.8999999999999995,5.35
Skull and Bones,2024-02-16,Ubisoft,Playstation 5,5.9,51,3.3,206.0,2,2024,-2.6000000000000005,4.6
Winnie the Pooh's Rumbly Tumbly Adventure,2005-02-08,Ubisoft,Playstation 2,7.7,3,7.7,9.0,2,2005,0.0,7.7
Winnie the Pooh's Rumbly Tumbly Adventure,2005-02-08,Ubisoft,Game Boy Advance,5.5,3,2.0,1.0,2,2005,-3.5,3.75
Winnie the Pooh's Rumbly Tumbly Adventure,2005-02-08,Ubisoft,Gamecube,5.9,7,7.7,9.0,2,2005,1.7999999999999998,6.800000000000001
Kong: The 8th Wonder of the World,2005-11-21,Ubisoft,Game Boy Advance,5.9,8,7.0,1.0,11,2005,1.0999999999999996,6.45
Lunar: Dragon Song,2005-09-27,Ubisoft,Ds,5.9,30,4.2,4.0,9,2005,-1.7000000000000002,5.050000000000001
Dark Planet: Battle for Natrolis,2002-03-20,Ubisoft,Pc,5.9,14,6.8,2.0,3,2002,0.8999999999999995,6.35
Conflict Zone,2001-10-31,Ubisoft,Pc,5.9,10,4.0,9.0,10,2001,-1.9000000000000004,4.95
Open Season,2006-09-19,Ubisoft,Wii,4.9,5,7.2,2.0,9,2006,2.3,6.050000000000001
Open Season,2006-09-19,Ubisoft,Xbox 360,5.9,15,6.8,2.0,9,2006,0.8999999999999995,6.35
Open Season,2006-09-19,Ubisoft,Pc,5.8,4,7.2,3.0,9,2006,1.4000000000000004,6.5
Open Season,2006-09-19,Ubisoft,Gamecube,5.9,6,10.0,1.0,9,2006,4.1,7.95
Open Season,2006-09-19,Ubisoft,Ds,7.2,4,9.0,1.0,9,2006,1.7999999999999998,8.1
Open Season,2006-09-19,Ubisoft,Playstation 2,5.7,6,7.0,1.0,9,2006,1.2999999999999998,6.35
Open Season,2006-09-19,Ubisoft,Psp,7.1,3,4.8,9.0,9,2006,-2.3,5.949999999999999
Drakengard 2,2006-02-14,Ubisoft,Playstation 2,5.8,34,6.9,5.0,2,2006,1.1000000000000005,6.35
Assassin's Creed II: Battle of Forli,2010-01-28,Ubisoft,Playstation 3,5.8,7,5.0,5.0,1,2010,-0.7999999999999998,5.4
Assassin's Creed II: Battle of Forli,2010-01-28,Ubisoft,Xbox 360,5.8,17,6.0,3.0,1,2010,0.20000000000000018,5.9
Assassin's Creed: Altair's Chronicles,2008-02-05,Ubisoft,Ds,5.8,30,5.1,10.0,2,2008,-0.7000000000000002,5.449999999999999
Assassin's Creed: Altair's Chronicles,2008-02-05,Ubisoft,Ios Iphoneipad,6.5,1,5.4,5.0,2,2008,-1.0999999999999996,5.95
TMNT,2007-03-20,Ubisoft,Xbox 360,5.8,31,6.3,2.0,3,2007,0.5,6.05
TMNT,2007-03-20,Ubisoft,Wii,6.0,17,4.8,9.0,3,2007,-1.2000000000000002,5.4
TMNT,2007-03-20,Ubisoft,Pc,5.5,11,7.0,13.0,3,2007,1.5,6.25
TMNT,2007-03-20,Ubisoft,Playstation 2,6.1,19,6.7,5.0,3,2007,0.6000000000000005,6.4
TMNT,2007-03-20,Ubisoft,Gamecube,6.3,4,7.0,2.0,3,2007,0.7000000000000002,6.65
TMNT,2007-03-20,Ubisoft,Psp,3.7,7,4.6,3.0,3,2007,0.8999999999999995,4.15
TMNT,2007-03-20,Ubisoft,Ds,4.2,10,3.0,6.0,3,2007,-1.2000000000000002,3.6
Heritage of Kings: The Settlers,2005-02-24,Ubisoft,Pc,5.8,29,7.2,14.0,2,2005,1.4000000000000004,6.5
Tom Clancy's Splinter Cell Essentials,2006-03-21,Ubisoft,Psp,5.8,37,6.4,6.0,3,2006,0.6000000000000005,6.1
Rocky Balboa,2007-03-13,Ubisoft,Psp,5.8,17,7.1,9.0,3,2007,1.2999999999999998,6.449999999999999
Rabbids: Alive & Kicking,2011-11-08,Ubisoft,Xbox 360,5.8,31,5.9,3.0,11,2011,0.10000000000000053,5.85
Driver '76,2007-05-08,Ubisoft,Psp,5.7,28,7.1,6.0,5,2007,1.3999999999999995,6.4
Pool of Radiance: Ruins of Myth Drannor,2001-09-28,Ubisoft,Pc,5.7,19,6.9,3.0,9,2001,1.2000000000000002,6.300000000000001
Paradise (2006),2006-05-03,Ubisoft,Pc,5.7,17,7.0,1.0,5,2006,1.2999999999999998,6.35
Rayman Raving Rabbids (2007),2007-03-06,Ubisoft,Ds,5.6,13,6.9,2.0,3,2007,1.3000000000000007,6.25
Rayman Raving Rabbids (2007),2007-03-06,Ubisoft,Game Boy Advance,5.3,3,7.0,2.0,3,2007,1.7000000000000002,6.15
Far Cry 4: Escape from Durgesh Prison,2015-01-13,Ubisoft,Xbox One,4.0,1,4.0,1.0,1,2015,0.0,4.0
Far Cry 4: Escape from Durgesh Prison,2015-01-13,Ubisoft,Playstation 4,5.6,8,5.8,4.0,1,2015,0.20000000000000018,5.699999999999999
Michael Jackson The Experience,2010-11-23,Ubisoft,Xbox 360,6.3,31,7.4,14.0,11,2010,1.1000000000000005,6.85
Michael Jackson The Experience,2010-11-23,Ubisoft,Playstation 3,6.6,11,8.1,3.0,11,2010,1.5,7.35
Michael Jackson The Experience,2010-11-23,Ubisoft,Wii,5.6,37,8.5,15.0,11,2010,2.9000000000000004,7.05
Michael Jackson The Experience,2010-11-23,Ubisoft,Psp,5.5,2,7.4,3.0,11,2010,1.9000000000000004,6.45
Michael Jackson The Experience,2010-11-23,Ubisoft,3Ds,5.9,5,7.3,2.0,11,2010,1.3999999999999995,6.6
Michael Jackson The Experience,2010-11-23,Ubisoft,Ios Iphoneipad,5.8,8,8.0,2.0,11,2010,2.2,6.9
Michael Jackson The Experience,2010-11-23,Ubisoft,Playstation Vita,5.7,27,6.5,2.0,11,2010,0.7999999999999998,6.1
Michael Jackson The Experience,2010-11-23,Ubisoft,Ds,6.4,5,7.5,1.0,11,2010,1.0999999999999996,6.95
Alexander (2004),2004-11-23,Ubisoft,Pc,5.6,16,7.5,1.0,11,2004,1.9000000000000004,6.55
Tom Clancy's Ghost Recon: Breakpoint,2019-10-01,Ubisoft,Pc,5.8,34,3.0,451.0,10,2019,-2.8,4.4
Tom Clancy's Ghost Recon: Breakpoint,2019-10-01,Ubisoft,Playstation 4,5.6,59,3.4,528.0,10,2019,-2.1999999999999997,4.5
Tom Clancy's Ghost Recon: Breakpoint,2019-10-01,Ubisoft,Xbox One,6.2,30,3.6,111.0,10,2019,-2.6,4.9
Bloody Good Time,2010-10-28,Ubisoft,Pc,7.3,5,7.9,6.0,10,2010,0.6000000000000005,7.6
Bloody Good Time,2010-10-28,Ubisoft,Xbox 360,5.5,18,6.1,4.0,10,2010,0.5999999999999996,5.8
Haze,2008-05-20,Ubisoft,Playstation 3,5.5,65,4.9,37.0,5,2008,-0.5999999999999996,5.2
C.O.P.: The Recruit,2009-11-03,Ubisoft,Ds,5.5,38,3.3,1.0,11,2009,-2.2,4.4
Trials of the Blood Dragon,2016-06-13,Ubisoft,Playstation 4,5.5,30,6.0,6.0,6,2016,0.5,5.75
Trials of the Blood Dragon,2016-06-13,Ubisoft,Xbox One,5.7,19,5.7,4.0,6,2016,0.0,5.7
Trials of the Blood Dragon,2016-06-13,Ubisoft,Pc,5.4,9,6.7,1.0,6,2016,1.2999999999999998,6.050000000000001
Rabbids Travel in Time 3D,2011-04-10,Ubisoft,3Ds,5.5,26,5.9,6.0,4,2011,0.40000000000000036,5.7
Rabbids Travel in Time 3D,2011-04-10,Ubisoft,Wii,6.2,24,7.0,13.0,4,2011,0.7999999999999998,6.6
Gunfighter: The Legend of Jesse James,2001-11-30,Ubisoft,Playstation,5.5,7,5.5,1.0,11,2001,0.0,5.5
Lost: Via Domus,2008-02-26,Ubisoft,Playstation 3,5.4,30,5.1,5.0,2,2008,-0.3000000000000007,5.25
Lost: Via Domus,2008-02-26,Ubisoft,Xbox 360,5.5,50,5.4,11.0,2,2008,-0.09999999999999964,5.45
Lost: Via Domus,2008-02-26,Ubisoft,Pc,5.2,22,7.4,6.0,2,2008,2.2,6.300000000000001
CSI: Miami,2004-11-16,Ubisoft,Pc,5.4,17,6.5,1.0,11,2004,1.0999999999999996,5.95
Import Tuner Challenge,2006-09-26,Ubisoft,Xbox 360,5.4,20,7.8,8.0,9,2006,2.3999999999999995,6.6
The Settlers: New Allies,2023-02-17,Ubisoft,Pc,5.4,24,3.5,77.0,2,2023,-1.9000000000000004,4.45
The Settlers: New Allies,2023-02-17,Ubisoft,Playstation 4,5.0,1,3.6,3.0,2,2023,-1.4,4.3
Tom Clancy's Ghost Recon Predator,2010-11-15,Ubisoft,Psp,5.4,15,4.9,2.0,11,2010,-0.5,5.15
CSI: NY,2008-11-18,Ubisoft,Pc,5.3,9,2.3,9.0,11,2008,-3.0,3.8
Monopoly Plus,2017-10-31,Ubisoft,Playstation 4,7.0,1,4.4,17.0,10,2017,-2.5999999999999996,5.7
Monopoly Plus,2017-10-31,Ubisoft,Nintendo Switch,5.3,17,5.6,47.0,10,2017,0.2999999999999998,5.449999999999999
Rabbids Invasion,2014-11-18,Ubisoft,Xbox One,5.3,9,6.6,3.0,11,2014,1.2999999999999998,5.949999999999999
Rabbids Invasion,2014-11-18,Ubisoft,Playstation 4,5.0,1,4.5,9.0,11,2014,-0.5,4.75
Rabbids Land,2012-11-18,Ubisoft,Wii U,5.2,26,5.7,16.0,11,2012,0.5,5.45
187 Ride or Die,2005-08-24,Ubisoft,Playstation 2,5.2,33,6.4,3.0,8,2005,1.2000000000000002,5.800000000000001
187 Ride or Die,2005-08-24,Ubisoft,Xbox,5.1,40,7.0,3.0,8,2005,1.9000000000000004,6.05
And 1 Streetball,2006-06-06,Ubisoft,Playstation 2,5.1,29,10.0,1.0,6,2006,4.9,7.55
CSI: Crime Scene Investigation: Deadly Intent,2009-10-27,Ubisoft,Xbox 360,5.1,10,5.9,2.0,10,2009,0.8000000000000007,5.5
CSI: Crime Scene Investigation: Deadly Intent,2009-10-27,Ubisoft,Ds,7.5,2,8.0,1.0,10,2009,0.5,7.75
Cubic Ninja,2011-06-14,Ubisoft,3Ds,5.1,15,5.9,7.0,6,2011,0.8000000000000007,5.5
Babel Rising,2012-06-13,Ubisoft,Xbox 360,5.1,22,3.4,3.0,6,2012,-1.6999999999999997,4.25
Babel Rising,2012-06-13,Ubisoft,Pc,5.0,3,3.0,4.0,6,2012,-2.0,4.0
Beowulf: The Game,2007-11-13,Ubisoft,Pc,4.4,12,5.1,2.0,11,2007,0.6999999999999993,4.75
Beowulf: The Game,2007-11-13,Ubisoft,Xbox 360,5.1,23,3.7,3.0,11,2007,-1.3999999999999995,4.4
Beowulf: The Game,2007-11-13,Ubisoft,Playstation 3,5.1,18,4.7,4.0,11,2007,-0.39999999999999947,4.9
Beowulf: The Game,2007-11-13,Ubisoft,Psp,4.4,4,6.8,9.0,11,2007,2.3999999999999995,5.6
Destroyer Command,2002-02-17,Ubisoft,Pc,5.1,11,6.5,9.0,2,2002,1.4000000000000004,5.8
Flashback,2013-08-21,Ubisoft,Xbox 360,5.0,37,4.9,24.0,8,2013,-0.09999999999999964,4.95
Flashback,2013-08-21,Ubisoft,Playstation 3,5.0,2,5.4,5.0,8,2013,0.40000000000000036,5.2
Flashback,2013-08-21,Ubisoft,Pc,5.4,1,5.1,18.0,8,2013,-0.3000000000000007,5.25
Alfred Hitchcock presents The Final Cut,2002-03-31,Ubisoft,Pc,5.0,17,7.6,9.0,3,2002,2.5999999999999996,6.3
Dungeon Hunter: Alliance,2012-02-15,Ubisoft,Playstation 3,6.7,18,7.5,14.0,2,2012,0.7999999999999998,7.1
Dungeon Hunter: Alliance,2012-02-15,Ubisoft,Playstation Vita,4.9,34,6.5,23.0,2,2012,1.5999999999999996,5.7
Monster 4x4: Masters of Metal,2003-12-10,Ubisoft,Playstation 2,4.8,9,8.0,2.0,12,2003,3.2,6.4
Disney's PK: Out of the Shadows,2002-11-01,Ubisoft,Gamecube,4.6,10,6.8,3.0,11,2002,2.2,5.699999999999999
Disney's PK: Out of the Shadows,2002-11-01,Ubisoft,Playstation 2,4.9,14,7.0,1.0,11,2002,2.0999999999999996,5.95
Nitrobike,2008-01-15,Ubisoft,Wii,4.9,22,5.8,2.0,1,2008,0.8999999999999995,5.35
Asphalt: Injection,2012-02-15,Ubisoft,Playstation Vita,4.9,33,5.2,11.0,2,2012,0.2999999999999998,5.050000000000001
Over G Fighters,2006-06-27,Ubisoft,Xbox 360,4.9,36,8.4,4.0,6,2006,3.5,6.65
Just Dance,2009-11-17,Ubisoft,Wii,4.9,21,6.1,13.0,11,2009,1.1999999999999993,5.5
The Dukes of Hazzard: Return of the General Lee,2004-09-28,Ubisoft,Playstation 2,5.2,17,4.0,2.0,9,2004,-1.2000000000000002,4.6
The Dukes of Hazzard: Return of the General Lee,2004-09-28,Ubisoft,Xbox,4.9,18,7.0,1.0,9,2004,2.0999999999999996,5.95
Astonishia Story,2006-06-06,Ubisoft,Psp,4.8,35,6.4,3.0,6,2006,1.6000000000000005,5.6
CSI: Crime Scene Investigation: Hard Evidence,2007-09-26,Ubisoft,Pc,6.3,9,6.0,1.0,9,2007,-0.2999999999999998,6.15
CSI: Crime Scene Investigation: Hard Evidence,2007-09-26,Ubisoft,Wii,4.9,8,5.3,9.0,9,2007,0.39999999999999947,5.1
CSI: Crime Scene Investigation: Hard Evidence,2007-09-26,Ubisoft,Xbox 360,4.8,13,4.9,4.0,9,2007,0.10000000000000053,4.85
Dogz,2005-11-17,Ubisoft,Game Boy Advance,4.8,9,6.0,2.0,11,2005,1.2000000000000002,5.4
Dogz,2005-11-17,Ubisoft,Ds,5.5,2,7.4,1.0,11,2005,1.9000000000000004,6.45
"Crouching Tiger, Hidden Dragon",2003-10-09,Ubisoft,Xbox,5.2,10,9.0,1.0,10,2003,3.8,7.1
"Crouching Tiger, Hidden Dragon",2003-10-09,Ubisoft,Playstation 2,4.8,26,7.0,1.0,10,2003,2.2,5.9
Driver: Renegade,2011-09-06,Ubisoft,3Ds,4.8,13,5.3,16.0,9,2011,0.5,5.05
Call of Juarez: The Cartel,2011-07-19,Ubisoft,Pc,5.1,12,3.6,30.0,7,2011,-1.4999999999999996,4.35
Call of Juarez: The Cartel,2011-07-19,Ubisoft,Playstation 3,4.5,42,5.3,21.0,7,2011,0.7999999999999998,4.9
Call of Juarez: The Cartel,2011-07-19,Ubisoft,Xbox 360,4.7,62,5.5,31.0,7,2011,0.7999999999999998,5.1
Monster Jam: Maximum Destruction,2002-06-13,Ubisoft,Playstation 2,4.7,11,5.0,1.0,6,2002,0.2999999999999998,4.85
Ice Age,2002-03-18,Ubisoft,Game Boy Advance,4.7,11,5.7,4.0,3,2002,1.0,5.2
Monster 4X4: World Circuit,2006-03-23,Ubisoft,Xbox,4.7,11,5.6,1.0,3,2006,0.8999999999999995,5.15
Monster 4X4: World Circuit,2006-03-23,Ubisoft,Wii,5.1,11,5.8,4.0,3,2006,0.7000000000000002,5.449999999999999
Tom Clancy's Ghost Recon (Wii),2010-11-16,Ubisoft,Wii,4.6,21,6.6,5.0,11,2010,2.0,5.6
Spartacus Legends,2013-06-26,Ubisoft,Xbox 360,4.5,8,5.3,42.0,6,2013,0.7999999999999998,4.9
Spartacus Legends,2013-06-26,Ubisoft,Playstation 3,5.0,6,5.9,19.0,6,2013,0.9000000000000004,5.45
War World: Tactical Combat,2008-10-01,Ubisoft,Pc,7.4,7,6.6,1.0,10,2008,-0.8000000000000007,7.0
Brothers in Arms: Double Time,2008-09-23,Ubisoft,Wii,4.5,13,4.0,1.0,9,2008,-0.5,4.25
Racquet Sports,2010-09-14,Ubisoft,Playstation 3,4.5,17,4.3,1.0,9,2010,-0.20000000000000018,4.4
Combat of Giants: Dinosaurs 3D,2011-03-27,Ubisoft,Wii,5.0,2,6.3,4.0,3,2011,1.2999999999999998,5.65
Combat of Giants: Dinosaurs 3D,2011-03-27,Ubisoft,3Ds,4.4,18,5.4,3.0,3,2011,1.0,4.9
Asphalt 3D,2011-03-22,Ubisoft,3Ds,4.3,37,5.1,17.0,3,2011,0.7999999999999998,4.699999999999999
The Legend of Alon D'ar,2001-12-04,Ubisoft,Playstation 2,4.3,14,10.0,1.0,12,2001,5.7,7.15
CSI: Crime Scene Investigation: Fatal Conspiracy,2010-10-26,Ubisoft,Xbox 360,4.2,9,4.6,9.0,10,2010,0.39999999999999947,4.4
CSI: Crime Scene Investigation: Fatal Conspiracy,2010-10-26,Ubisoft,Pc,4.7,5,4.5,2.0,10,2010,-0.20000000000000018,4.6
CSI: Crime Scene Investigation: Fatal Conspiracy,2010-10-26,Ubisoft,Playstation 3,3.9,5,5.8,4.0,10,2010,1.9,4.85
Planet of the Apes,2001-09-19,Ubisoft,Pc,4.1,11,4.1,2.0,9,2001,0.0,4.1
Emergency Heroes,2008-05-27,Ubisoft,Wii,4.1,12,5.5,4.0,5,2008,1.4000000000000004,4.8
GT Pro Series,2006-11-14,Ubisoft,Wii,4.1,15,8.3,5.0,11,2006,4.200000000000001,6.2
MotionSports Adrenaline,2011-11-01,Ubisoft,Xbox 360,4.1,8,6.4,2.0,11,2011,2.3000000000000007,5.25
MotionSports,2010-11-04,Ubisoft,Xbox 360,4.0,30,4.0,5.0,11,2010,0.0,4.0
Pure Futbol,2010-06-01,Ubisoft,Playstation 3,4.6,12,3.8,2.0,6,2010,-0.7999999999999998,4.199999999999999
Pure Futbol,2010-06-01,Ubisoft,Xbox 360,3.8,20,5.8,6.0,6,2010,2.0,4.8
Teenage Mutant Ninja Turtles: Arcade Attack,2009-11-10,Ubisoft,Ds,3.6,8,6.9,3.0,11,2009,3.3000000000000003,5.25
NCIS,2011-11-01,Ubisoft,Xbox 360,3.5,11,4.0,5.0,11,2011,0.5,3.75
NCIS,2011-11-01,Ubisoft,Playstation 3,5.0,4,4.0,4.0,11,2011,-1.0,4.5
